"user_id","pro_id"
"2974","125"
"2974","94"
"2974","92"
"2974","40"
"2974","87"
"2974","53"
"212379","5"
"212379","38"
"212379","13"
"204836","109"
"6234","198"
"6234","257"
"6234","113"
"3932","23"
"3932","21"
"3932","26"
"6261","86"
"6261","277"
"6261","12"
"6261","360"
"6261","5"
"6261","38"
"6261","18"
"6216","1"
"71471","138"
"211524","34"
"211524","51"
"215862","48"
"6291","2"
"149513","304"
"6293","12"
"6216","18"
"6309","67"
"6300","355"
"6365","274"
"6365","9"
"208028","104"
"208028","118"
"208028","121"
"208028","117"
"208028","116"
"208028","115"
"208028","108"
"208028","92"
"208028","67"
"208028","34"
"6417","92"
"6417","90"
"6435","18"
"6439","98"
"3488","18"
"6435","27"
"6435","20"
"6435","19"
"6435","183"
"6493","534"
"214789","159"
"1978","18"
"6511","28"
"6511","23"
"6515","67"
"6515","38"
"6515","360"
"6515","5"
"6515","12"
"6515","311"
"6515","31"
"188954","329"
"6543","42"
"6543","139"
"6553","39"
"6544","18"
"6559","205"
"6572","18"
"6595","233"
"6595","8"
"6601","13"
"6607","38"
"188923","8"
"188923","9"
"188923","34"
"188923","74"
"5168","234"
"5168","54"
"5165","6"
"5168","266"
"5168","213"
"6509","18"
"6636","266"
"6216","159"
"6216","329"
"6645","31"
"123162","20"
"184489","95"
"184489","165"
"2767","8"
"146388","25"
"146388","259"
"146388","38"
"210450","11"
"210450","138"
"210450","139"
"6691","8"
"6691","13"
"6691","29"
"6691","6"
"6691","354"
"6691","106"
"6691","108"
"6691","109"
"6691","118"
"6691","52"
"6691","88"
"6691","94"
"4024","25"
"210436","227"
"6713","35"
"143187","12"
"143187","53"
"180946","216"
"177598","8"
"177598","37"
"177598","238"
"177598","243"
"201129","23"
"138049","5"
"185446","2"
"2956","11"
"121060","42"
"121060","115"
"121060","118"
"121060","81"
"6994","38"
"5649","52"
"5649","53"
"5649","134"
"7042","266"
"188662","162"
"65569","170"
"65569","186"
"65569","358"
"65569","354"
"7042","154"
"41475","104"
"7061","8"
"7061","9"
"7061","91"
"7061","89"
"7061","108"
"7061","25"
"7061","354"
"7061","26"
"7061","30"
"184669","14"
"184669","16"
"184669","32"
"7061","253"
"189141","20"
"189141","19"
"189141","35"
"189141","41"
"189141","48"
"189141","97"
"7084","18"
"7042","92"
"7042","104"
"7042","123"
"7042","145"
"185796","34"
"185796","132"
"6201","53"
"208765","290"
"208765","309"
"7142","188"
"7159","360"
"215015","26"
"7174","148"
"7174","121"
"7174","119"
"7174","12"
"184384","2"
"187430","12"
"184384","157"
"184384","167"
"184384","169"
"184384","171"
"184384","172"
"184384","173"
"184384","177"
"184384","202"
"184384","263"
"7255","203"
"7255","27"
"175224","42"
"175224","10"
"175224","11"
"175224","48"
"7261","27"
"175224","150"
"175224","261"
"175224","337"
"7267","27"
"175224","238"
"175224","29"
"7267","320"
"7267","3"
"7267","46"
"7267","343"
"7267","9"
"7267","167"
"7275","15"
"7275","25"
"7275","135"
"127163","141"
"127163","252"
"127163","261"
"127163","336"
"7336","31"
"170631","172"
"170631","173"
"170631","238"
"262","341"
"172358","31"
"172358","24"
"1806","6"
"1806","360"
"1806","5"
"1806","12"
"1806","52"
"1806","153"
"1806","306"
"1806","346"
"1806","33"
"1806","211"
"1806","151"
"1806","293"
"1806","204"
"1806","200"
"1806","344"
"1806","284"
"1806","169"
"1806","347"
"1806","28"
"1806","68"
"1806","289"
"1806","126"
"1806","61"
"1806","148"
"1806","150"
"1806","31"
"1806","14"
"1806","90"
"1806","210"
"1806","112"
"1806","96"
"1806","353"
"1806","44"
"1806","276"
"1806","105"
"1806","295"
"1806","337"
"1806","170"
"1806","264"
"1806","330"
"1806","331"
"1806","335"
"1806","192"
"1806","273"
"1806","316"
"1806","262"
"1806","238"
"1806","106"
"1806","253"
"1806","205"
"1806","342"
"1806","16"
"1806","163"
"1806","119"
"1806","213"
"1806","212"
"1806","145"
"1806","180"
"1806","339"
"1806","214"
"7398","18"
"185104","5"
"185104","256"
"70457","4"
"171032","38"
"171032","40"
"171032","6"
"171032","67"
"171032","168"
"171032","173"
"171032","317"
"171032","344"
"171032","360"
"158170","25"
"158170","30"
"158170","34"
"158170","36"
"158170","52"
"80825","11"
"7486","18"
"7487","542"
"7487","553"
"7487","5"
"7487","174"
"7487","374"
"7487","21"
"7487","231"
"7487","159"
"4387","348"
"4387","13"
"7494","6"
"7501","89"
"7501","93"
"7501","94"
"7501","92"
"7195","67"
"4960","184"
"3958","6"
"3958","38"
"3958","9"
"3958","5"
"7522","12"
"7527","1"
"7527","29"
"7545","67"
"7552","147"
"205982","93"
"7604","360"
"7604","189"
"7604","226"
"7608","12"
"7608","122"
"7613","92"
"7613","90"
"47937","140"
"7664","80"
"148229","33"
"148229","32"
"148229","35"
"148229","53"
"148229","135"
"148229","144"
"851","12"
"7726","297"
"7732","25"
"7732","34"
"7732","38"
"7748","214"
"7748","35"
"7748","11"
"7748","52"
"7748","18"
"7748","5"
"7748","309"
"7748","6"
"7748","284"
"7748","242"
"7748","329"
"7748","159"
"7748","169"
"7748","173"
"7748","330"
"213555","18"
"7854","5"
"7854","256"
"7854","267"
"6216","29"
"7490","360"
"7885","305"
"7885","285"
"7885","46"
"7885","356"
"7885","142"
"7885","238"
"7885","257"
"7885","267"
"7885","6"
"7885","169"
"7885","79"
"7885","19"
